Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,9404.329999999998,112851.96,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),One main DB and a read replica,Amazon RDS for PostgreSQL,0,3507.52,42090.24,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB), Additional backup storage (5 TB), Nodes (2), Instance Type (db.m5.2xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Lease Offering Term (1yr), Purchase Option (No Upfront)"
My Estimate,US East (N. Virginia),Two load balancers,Application Load Balancer,0,79.57,954.84,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Two NAT gateways (one in each public subnet),Network Address Translation (NAT) Gateway,0,1448.1,17377.20,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Data Transfer,0,2201.6,26419.20,USD,"DT Inbound: Internet (20 TB per month), DT Outbound: Internet (20 TB per month), DT Intra-Region: (20 TB per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,540.82,6489.84,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (20 TB per month)"
My Estimate,US East (N. Virginia),Web servers and App servers,Amazon EC2 ,0,1626.72,19520.64,USD,"Operating system (Linux), Pricing strategy (On-Demand), Storage amount (100 GB), Advance EC2 instance (m5a.xlarge), Tenancy (Shared Instances), Snapshot Frequency (No snapshot storage), Enable monitoring (disabled), Workload (Consistent, Number of instances: 12)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
